subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	date	creator_id	subject_source_version	object_source_version
CO_337:0000046	Biomass	skos:exactMatch	TO:0000457	biomass yield	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000039	Canopy height	skos:exactMatch	TO:0000207	plant height	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000040	Canopy width	skos:exactMatch	TO:0006062	plant width	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000001	Emergence time	skos:exactMatch	TO:0006061	days to germinate	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000002	Flowering time	skos:exactMatch	TO:0002616	flowering time trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000069	Fresh seed dormancy	skos:exactMatch	TO:0000253 	seed dormancy	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000004	Harvest time	skos:exactMatch	TO:0000469	days to maturity	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000059	Harvest index	skos:exactMatch	TO:0000897	seed harvest index	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000245	Plant branch number	skos:exactMatch	TO:0020020	primary shoot branch number	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000051	Plant leaf weight	skos:exactMatch	TO:0000870	leaf yield trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000052	Plant pod number	skos:exactMatch	TO:0001125	pod number trait	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000053	Plant pod weight	skos:exactMatch	TO:0001092	legume fruit weight	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000248	Plant seed number	skos:exactMatch	TO:0000445	fruit seed number	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
CO_337:0000050	Plant stem weight	skos:exactMatch	TO:0000952	stem weight	1	sssom:HumanCuration	07/03/2023	orcid:0000-0002-6379-8932|orcid:0000-0002-8461-9745	https://raw.githubusercontent.com/Planteome/CO_337-groundnut-traits/6ca78690a094e3e70b42b42836848698217f77aa/Groundnut_TD.csv	http://purl.obolibrary.org/obo/to/releases/2018-03-09/to.owl
