Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_337:0000500,B_E_1to5,"B_1_5, B",Characterization,Harvest,,BMS_22447,ICRISAT/ISRA/DARS,,,EN,Groundnut,CO_337:0000030,Pod beak,Morphological traits,Tip of the pod.,,B,,Pod,Beak,,,CO_337:0000110,Pod beak - Method,Estimation,Pod beak assessment.,,,CO_337:0000111,1-5 Pod beak score,Ordinal,1,,,,1= A= Absent,2= SI= Slight,3= M= Moderate,4= P= Prominent,5= VP= Very Prominent,,,,,
,CO_337:0000501,BH_E_1to4,"BH_1_4, BH",Evaluation in Trials,Growing stage,,BMS_22448,ICRISAT/ISRA/DARS,,,EN,Groundnut,CO_337:0000016,Branching habit,Morphological traits,"A qualitative description of the branch habit of the plant, whether number of branches/architecture-erect/semi-erect/prostrate/spreading/semi-spreading",,BH,,Plant,Branching habit,,,CO_337:0000096,Branching habit - Method,Estimation,Branching habit assessment.,,,CO_337:0000097,1-4 Branching score,Nominal,0,,,,1= SQ= Sequential,2= AL= Alternate,3= IB-1= Irregular with flowers on main axis,4= IB-2= Irregular without flowers on main axis.,,,,,,
,CO_337:0000502,BM_DW_gPlnt,"BM_DW_g, BM",Evaluation in Trials,Harvest,,BMS_22386,ICRISAT/ISRA/DARS,,,EN,Groundnut,CO_337:0000046,Biomass,Agronomical traits,The amount (weight) of biomass that was harvested per unit area or plant.,,BM,,Plant,Biomass,,,CO_337:0000130,Biomass DW - Method - At vegetative stage,Measurement,Biomass dry weight of plants or sampled area.,,,CO_337:0000131,g/plant,Numerical,1,0,200,,,,,,,,,,,
,CO_337:0000503,BM_DW_gPlnt_Tveg,VBDW,Evaluation in Trials,Growing stage,,BMS_22440,BMS,,,EN,Groundnut,CO_337:0000046,Biomass,Agronomical traits,The amount (weight) of biomass that was harvested per unit area or plant.,,BM,,Plant,Biomass,,,CO_337:0000130,Biomass DW - Method - At vegetative stage,Measurement,Biomass dry weight of plants or sampled area.,,,CO_337:0000131,g/plant,Numerical,1,0,200,,,,,,,,,,,
,CO_337:0000504,BM_FW_gPlnt_Tveg,VG,Evaluation in Trials,Growing stage,,BMS_22441,BMS,,,EN,Groundnut,CO_337:0000046,Biomass,Agronomical traits,The amount (weight) of biomass that was harvested per unit area or plant.,,BM,,Plant,Biomass,,,CO_337:0000266,Biomass FW - Method - At vegetative stage,Measurement,Biomass fresh weight of plants or sampled area.,,,CO_337:0000131,g/plant,Numerical,1,0,200,,,,,,,,,,,
,CO_337:0000505,BND_Calc_pct,BND_pct,Evaluation in Trials,Growing stage,,BMS_22757,BMS,,,EN,Groundnut,CO_337:0000212,Bud necrosis disease incidence,Biotic Stress traits,Bud necrosis disease incidence caused by agent peanut bud necrosis virus (PBNV).,,BND,,Plant,Bud necrosis disease incidence,,,CO_337:0000213,Bud necrosis disease incidence calculation - Method,Computation,Calculation of incidence as the percentage of dead plants.,,,CO_337:0000079,%,Numerical,1,1,100,,,,,,,,,,,
,CO_337:0000506,BND_Ct_Plnt,BND_dead_pl,Evaluation in Trials,Growing stage,,BMS_22756,BMS,,,EN,Groundnut,CO_337:0000212,Bud necrosis disease incidence,Biotic Stress traits,Bud necrosis disease incidence caused by agent peanut bud necrosis virus (PBNV).,,BND,,Plant,Bud necrosis disease incidence,,,CO_337:0000216,Bud necrosis disease counting - Method,Counting,Count number of dead/affected plants.,,,CO_337:0000217,plant,Numerical,,,,,,,,,,,,,,
,CO_337:0000507,CG_E_1to8,"CG_1_8, CG",Characterization,Growing stage,,BMS_22506,ICRISAT/ISRA/DARS,,,EN,Groundnut,CO_337:0000038,Cultivar group,Morphological traits,A classification of varieties of groundnut.,,CG,,Plant,Cultivar Group,,,CO_337:0000120,Cultivar group - Method,Estimation,Cultivar group assessment.,,,CO_337:0000121,1-8 Cultivar group score,Nominal,0,,,,1= V= Virginia,2= M= Matevere,3= G= Georgia,4= N= Nambyquare,5= V= Valencia,6= S= Spanish,7= NI= Natal,8= Mm= Manyema,,
,CO_337:0000508,CH_M_cm,"CH_cm, CH",Evaluation in Trials,Before Maturity,,BMS_22566,ICRISAT/ISRA/DARS,,26-August-2010,EN,Groundnut,CO_337:0000039,Canopy height,Agronomical traits,Height of the canopy.,"Plant Height, Main stem height",CH,,Canopy,Height,,,CO_337:0000172,Canopy height - Method,Measurement,Measuring the distance from the base to the tip of the main stem.,,,CO_337:0000173,cm,Numerical,2,0,1,,,,,,,,,,,
,CO_337:0000509,Chl_M_CCI,SPAD,Evaluation in Trials,Growing stage,,BMS_22781,BMS,,,EN,Groundnut,CO_337:0000218,Specific leaf area,Physiological traits,Specific leaf area as leaf area/leaf weight ratio.,,SLA,SPAD7,Plant,Specific leaf area,,,CO_337:0000219,Leaf chlorophyll content - Method,Measurement,"SCMR (SPAD (Soil Plant Analytical Development) Chlorophyll Meter Readings). Unitless measurement, averaged over 4 leaflets of the most fully expanded leaf in the main stem.",,,CO_337:0000159,CCI,Numerical,1,0,60,,,,,,,,,,,
,CO_337:0000510,Chl_M_CCI_T7d,SPAD7_CCI,Evaluation in Trials,Growing stage,,BMS_22425,BMS,,,EN,Groundnut,CO_337:0000218,Specific leaf area,Physiological traits,Specific leaf area as leaf area/leaf weight ratio.,,SLA,SPAD7,Plant,Specific leaf area,,,CO_337:0000222,Leaf chlorophyll content - Method - At 7 days after treatment,Measurement,"SCMR (SPAD (Soil Plant Analytical Development) Chlorophyll Meter Readings). Unitless measurement, averaged over 4 leaflets of the most fully expanded leaf in the main stem.",,,CO_337:0000159,CCI,Numerical,1,0,60,,,,,,,,,,,
,CO_337:0000511,Chl_M_CCI_Tharv,SPADH_CCI,Evaluation in Trials,Harvest,,BMS_22426,BMS,,,EN,Groundnut,CO_337:0000218,Specific leaf area,Physiological traits,Specific leaf area as leaf area/leaf weight ratio.,,SLA,SPAD7,Plant,Specific leaf area,,,CO_337:0000225,Leaf chlorophyll content - Method - At harvest,Measurement,"SCMR (SPAD (Soil Plant Analytical Development) Chlorophyll Meter Readings). Unitless measurement, averaged over 4 leaflets of the most fully expanded leaf in the main stem.",,,CO_337:0000159,CCI,Numerical,1,0,60,,,,,,,,,,,
,CO_337:0000512,Chl_M_CCI_Tptreat,,Evaluation in Trials,Growing stage,,BMS_22427,BMS,,,EN,Groundnut,CO_337:0000218,Specific leaf area,Physiological traits,Specific leaf area as leaf area/leaf weight ratio.,,SLA,SPAD7,Plant,Specific leaf area,,,CO_337:0000228,Leaf chlorophyll content - Method - At pretreatment,Measurement,"SCMR (SPAD (Soil Plant Analytical Development) Chlorophyll Meter Readings). Unitless measurement, averaged over 4 leaflets of the most fully expanded leaf in the main stem.",,,CO_337:0000159,CCI,Numerical,1,0,60,,,,,,,,,,,
,CO_337:0000513,Chl_M_CCI_Tstart,SPADS_CCI,Evaluation in Trials,Growing stage,,BMS_22428,BMS,,,EN,Groundnut,CO_337:0000218,Specific leaf area,Physiological traits,Specific leaf area as leaf area/leaf weight ratio.,,SLA,SPAD7,Plant,Specific leaf area,,,CO_337:0000231,Leaf chlorophyll content - Method - At start,Measurement,"SCMR (SPAD (Soil Plant Analytical Development) Chlorophyll Meter Readings). Unitless measurement, averaged over 4 leaflets of the most fully expanded leaf in the main stem.",,,CO_337:0000159,CCI,Numerical,1,0,60,,,,,,,,,,,
,CO_337:0000514,Con_E_1to5,"Con_1_5, Con",Characterization,Harvest,,BMS_22452,ICRISAT/ISRA/DARS,,,EN,Groundnut,CO_337:0000029,Pod constriction,Morphological traits,A qualitative trait indicating shape of pod.,,Con,,Pod,Constriction,,,CO_337:0000108,Pod constriction - Method,Estimation,Pod constriction assessment.,,"Pittman RN, (1995) United States Peanut Descriptors.",CO_337:0000109,1-5 Pod constriction score,Ordinal,1,,,,1= A= Absent,2= SI= Slight,3= M= Moderate,4= D= Deep,5= VD= Very Deep,,,,,
,CO_337:0000515,CR_Calc_pct,CR_pct,Evaluation in Trials,Growing stage,,BMS_22761,BMS,,,EN,Groundnut,CO_337:0000233,Collar rot incidence,Biotic Stress traits,Collar rot incidence caused by agent Aspergillus niger.,,CR,,Plant,Collar rot incidence,,,CO_337:0000234,Collar rot Incidence calculation - Method,Computation,Calculation of incidence as the percentage of dead plants.,,,CO_337:0000079,%,Numerical,1,1,100,,,,,,,,,,,
,CO_337:0000516,CR_Ct_Plnt,CR_dead_pl,Evaluation in Trials,Growing stage,,BMS_22760,BMS,,,EN,Groundnut,CO_337:0000233,Collar rot incidence,Biotic Stress traits,Collar rot incidence caused by agent Aspergillus niger.,,CR,,Plant,Collar rot incidence,,,CO_337:0000237,Collar rot counting - Method,Counting,Count number of dead/affected plants.,,,CO_337:0000217,plant,Numerical,,,,,,,,,,,,,,
,CO_337:0000517,CW_M_cm,"CW_cm, CW",Evaluation in Trials,Before Maturity,,BMS_22567,ICRISAT/ISRA/DARS,,26-August-2010,EN,Groundnut,CO_337:0000040,Canopy width,Agronomical traits,Width of the canopy.,Canopy diameter,CW,,Canopy,Width,,,CO_337:0000174,Canopy width - Method,Measurement,Measuring the distance from the widest branch to the other extreme of the canopy,,,CO_337:0000173,cm,Numerical,2,0,1,,,,,,,,,,,
,CO_337:0000518,D13C_M_ratio,"D13C_ratio, D13C",Evaluation in Trials,Growing stage,,BMS_22388,ICRISAT/ISRA/DARS,,,EN,Groundnut,CO_337:0000066,Leaf Carbon isotope discrimination,Physiological traits,Ratio of Carbon isotope 13C discrimination.,Delta 13C,D13C,,Leaf,Carbon isotope discrimination,,,CO_337:0000164,Leaf Delta 13C - Method,Measurement,"Carbon isotope discrimination ratio, measured on the dried and ground leaves of the drought set of plants.",,,CO_337:0000149,ratio,Numerical,2,0,1,,,,,,,,,,,
,CO_337:0000519,DRO_E_pct,"DRO_pct, DRO",Evaluation in Trials,Growing stage,,BMS_22389,ICRISAT/ISRA/DARS,,,EN,Groundnut,CO_337:0000007,Rosette disease incidence,Biotic Stress traits,Rosette disease incidence caused by a complex of two viruses.,Disease Score RO:Rosette,DRO,,Plant,Rosette disease incidence,,,CO_337:0000092,Rosette disease incidence - Method,Estimation,Assessment of diseased as proportion of the total number of plants.,,,CO_337:0000079,%,Numerical,1,1,100,,,,,,,,,,,
